variant,horizon_s,symbol,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
negret120_liq2_300,120,btcusdt,90,-0.05651229912538141,-13.06689630423041,-0.002686660779414341,-13.010384005105028,5049605.978612223,True,124776,40065521,110304683481.2332,454464538.0751,109850218943.1581
negret120_liq2_300,120,ethusdt,90,0.10954968389910831,-13.74052904604692,0.31345210732601075,-13.850078729946027,16549825.943896778,True,699257,69888820,102662756135.1466,1489484334.95071,101173271800.1959
negret120_liq2_300,300,btcusdt,90,-0.022735974375751172,17.754325002043863,-0.06988918473161872,17.777060976419616,3242293.4385311115,True,52202,40138095,110304683481.2332,291806409.4678,110012877071.7654
negret120_liq2_300,300,ethusdt,90,0.19488446970022846,53.86664872664794,0.14203647263771446,53.67176425694771,1122084.730304889,True,26597,70561480,102662756135.1466,100987625.72744,102561768509.41917
ret30_long_hybrid,30,btcusdt,90,-0.13395581871784798,17.082464012258534,-0.13843733337350722,17.21641983097638,318948.36892777774,False,6071,40184226,110304683481.2332,28705353.2035,110275978128.0297
ret30_long_hybrid,30,ethusdt,90,0.037604736675293744,31.52704664834508,-0.07390058807029852,31.489441911669786,4025000.290334333,True,122297,70465780,102662756135.1466,362250026.13009,102300506109.01653
ret30_long_hybrid,120,btcusdt,90,-0.05651229912538141,20.29118074781574,-0.19052437151641624,20.34769304694112,8019166.992435556,True,163250,40027047,110304683481.2332,721725029.3192,109582958451.914
ret30_long_hybrid,120,ethusdt,90,0.10954968389910831,19.581621749388972,-0.32683333098734346,19.472072065489865,25003493.271764778,True,884023,69704054,102662756135.1466,2250314394.45883,100412441740.68777
ret30_long_hybrid,300,btcusdt,90,-0.022735974375751172,21.737263238599162,-0.16604964551432944,21.759999212974915,8019166.992435556,True,163250,40027047,110304683481.2332,721725029.3192,109582958451.914
ret30_long_hybrid,300,ethusdt,90,0.19488446970022846,21.90099392862284,-0.291564915618523,21.70610945892261,25003493.271764778,True,884023,69704054,102662756135.1466,2250314394.45883,100412441740.68777
ret5_all,30,btcusdt,90,-0.13395581871784798,17.082464012258534,-0.13843733337350722,17.21641983097638,318948.36892777774,False,6071,40184226,110304683481.2332,28705353.2035,110275978128.0297
